,score,Title,content
750,5.0,Amazing!!! ⭐️⭐️⭐️⭐️⭐️,"Out of all the hotels I’ve stayed at, Bellagio was the best thus far!!! I have always wanted to stay at Bellagio and I’m so happy that I had my chance. Very clean, great services and very nice and friendly staff…. We will definitely stay here again and again and again!!!!"
751,5.0,Magnificent property,"Everything in this hotel is fabulous. The decor, the ambiance, the cafes. It is truly a five-star resort! We live in Summerlin so enjoyed this ""stay cation"" very much. Can't wait to return when the weather is warmer to use the pool areas."
752,5.0,Fun Vegas Weekend,Everything about our stay at Bellagio was perfect. We arrived a little earlier than check in time; however our room was ready and we were able to head straight to the room. We had a view of the fountains which were amazing to watch from the room.
753,5.0,Weekend getaway,"My girlfriend and I went for a quick weekend getaway. The room was extremely clean, the bed was very comfortable, the staff was incredibly friendly and helpful, the casino is a ton of fun. Will definitely stay here again."
754,5.0,Magnificent!,"Our first time stay at the Bellagio was an experience to be remembered for the rest of our lives. If you have never stayed here, you simply must make a point. The staff was always pleasant and very helpful. The food was delicious, our room was a king with a view of the fountains. The nighttime lighted view of the Strip was incredible! No need to stand outside in the crowd to watch the fountain displays. We saw it all from our 11th floor room."
755,5.0,Our Vegas go-to property,"In my opinion, one of the best properties in Vegas. Some notable characteristics: - their mlife rewards program is extensive and opens up room & dining options across the strip - everything about them is held to an incredibly high standard - and it shows. staff are friendly, the property is clean, and food is great (who knew that our favorite açaí bowl ever would be from their in-room dining menu?) - accessible transportation to neighboring properties via the tram - updated rooms and great dining options (we love sadelle's and prime in particular) - dog-friendly! we wish they had more accommodations for dog travelers (outdoor walk/park areas), but given that Vegas has historically and still is not very dog friendly, we appreciate that Bellagio gives visitors the option of"
756,4.0,Fountains!,"Nice hotel. We paid significantly more for fountain view. We had one, but 8th floor very obstructed view. Buffet was OK. But dirge and go to caesars. Line for buffet at 1030 was 30 minutes. Then 30 minute line for an omelet. All other food was Luke warm at best."
757,5.0,Exceptional,"The staff is very kind, attentive, friendly, helpful and exceptional. The atmosphere and decorations for the Christmas Holidays were very lovely and well thought out. I highly recommend The Bellagio for all events."
758,3.0,No longer the best hotel on the strip,"Hotel is antiquated. Not a great sports book. Food options are limited and extremely overpriced.I would say that 10+ years ago, this was one of the better places to stay on the strip but the times have caught up with them."
759,5.0,Great Hotel! Evrything is wonderful.,The Hotel is great. From the front desk who are all very helpful and polite. The casino is clean. The surroundings is beautiful. Everybody are very pleasant. The rooms are clean. The beds are very comfortable. The valet parking is very convenient. The bell boys are very nice. So happy to stay at this hotel!
760,5.0,Excellent Hotel,Received excellent service. Great bed and very clean room. Restaurants were excellent especially Spago and Sadelle’s. Make reservations for meals to save wait times! Only challenge is long walk to rooms which is common to most properties in Las Vegas.
761,5.0,Best stay ever,Every single employee I interacted with was very professional and kind. It's unusual to have so many polite people working at one location. The room was very clean and the bed very comfortable. I'm very pleased with my experience at the Bellagio. Thank you to everyone there.
762,5.0,Bellagio on top,"I have stayed at the Bellagio several times over the past few years, and their accommodations are top notch. On my last prior trip, I said that they had missed the mark, because of the location of my suite, which had a terrible view. I spoke with the hostess, and made sure that this time would be better, and she accommodated. The rooms are up to date, bright, spacious and thoroughly enjoyable."
763,5.0,Family Vaca!!!,"Great room, helpful staff, loved the Bellagio and the location on the strip. Only thing missing was an inexpensive family restaurant nearby for fast food. Ended up eating at other casinos food courts. BUT would definitely stay here again."
764,5.0,Gorgeous hotel right in the center of the strip,The Bellagio was beautifully decorated for Christmas with an amazing display near the atrium . The rooms are amazing and spacious with several amenities . The staff was very attentive and helped you find your way around different places. We had a fountain room with amazing views of the fountains . We will definitely be returning in a few months to stay with them again !!’n
765,5.0,Highly recommended,The front desk is hectic at times but they handle your every need. The hotel is clean and they pay attention to cleanliness. We felt safe from Covid and the staff is friendly and helpful. Cannot wait to visit again soon. Great place!
766,4.0,Problem with checkout,They told things I don't drink during my stay at the hotel but is great place and good price and excellent employees and big rooms for peoples that travel with family great bed for excellent night sleep
767,3.0,overrated,"Room very dusty and furniture are outdated, lack of appreciation to loyal customers, no exciting restuarant like celebrity chef. Still a great location in the strip and best hotel displays in LasVegas."
768,5.0,Barking Dog,"Love the hotel, could not sleep due to dog barking, don’t have any good comenta due to the lack of sleep. This issue went on for some time, had very high hopes for this stay. Don’t know if I could ever stay there"
769,4.0,Be aware that Resort Tower King is in Spa tower,"Nothing wrong with spa tower but it would be more professional if the hotel could let guests know in which tower their room will be during the reservation. The reality is that you know your tower only after check in. Spa tower is on the way to Vdara and it’s quiet, also more convenient to pool and monorail, but far from casino. Otherwise everything is good, still the best hotel in Vegas"
770,5.0,Christmas Beauty,The Bellagio is a beautiful place at Christmas time. Decorations galore with festivities in town to match. We attended a concert plus took in all the sights and sounds of the season. It was a memorable weekend‼️
771,1.0,Ran Down,"Prestigious but ran down and overpriced. Had a few issues with our room. Never was fully satisfied based on the price we had to pay. The prime steakhouse was amazing and is highly recommended for anyone. The meal was $420 for two people, but the best meal I have ever had."
772,5.0,Great vacation,"My wife and I have been visiting Vegas annually (or more) for 40 years. Beat trip ever. Casino dealers and equipment were first rate. Meals were excellent. Supper club was one of our best evenings out ever. Room and service were wonderful. Pricey, but worth it."
773,5.0,Will be back soon.,My wife and I stayed at Bellagio recently and all I can say is we had an amazing experience. We had friends staying there aswell and had no complaints at all. Will definitely book my next stay soon. I really recommend to book your stay at bellagio on your next Vegas stay.
774,5.0,Why Would You Stay Anywhere Else?,"Amazing experience, as always. Bellagio is the centerpiece of the Vegas Strip. In my opinion, the best place to stay to be close to everything. There are obviously other quality options on the strip (and some further from the strip), but Bellagio seems to be the perfect location. It will always be my first choice. And how can you beat a room with a view of the fountains?"
775,5.0,Even nicer than imagined,"Booked room & show for daughter's 21st birthday, hotel was well beyond our expectations and everyone we encountered on the staff were wonderful.. delightful memorable experience for all of us. Thanks."
776,5.0,Luxury stay with wonderful service,"Extremely friendly and helpful staff, luxury accommodations, comfortable bed, beautifully appointed room, nice amenities. Easy check-in process, easier check-out process. Our only issue was the need to make reservations for all of the restaurants days ahead. The patisserie, however had fast service and very yummy food available with little wait for breakfast and lunch."
777,5.0,A Class Above,"My wife and I stayed at the Bellagio last week and were very pleased with the hotel compared to others on the strip we've stayed at. The rooms, service, restaurants are just a cut above the others (many of which are also nice). We wouldn't hesitate to choose Bellagio again."
778,5.0,Absolutely amazing stay!,This was our first time staying at the Bellagio and it will 100% be the only place we stay at when visiting Vegas! We were so pleased with how clean it was! Not only was our room spotless but all areas were absolutely spotless! Thank you so much to everyone at the Bellagio that help run this place so beautifully. We saw every individual working so hard and long hours to ensure everything was perfect.
779,5.0,Wonderful stay!,People are so nice and friendly. Property is beautiful and food is amazing! We were able to check in early which was really nice due to the early morning flight we had. Highly recommend!! My new favorite place!
780,3.0,Average,"I was expecting a lot more from Bellagio. I know I'm only a Gold member, but that was never addressed at check-in (thank you for being a loyal customer). The weekend was pretty packed, but not a single upgrade was available or offered, Ather asked 5 times the host offered a penthouse for +$300 a night... No complimentary water in the room, and there should be for the gold members. Our stay did not feel luxurious at all, and we spent quite a bit of money. I know Vegas is different with the way they treat their guest, and only comps anything for gambling, I had much better experiences at the 3 other properties we stayed in the last year in Vegas."
781,2.0,Not the same Bellagio,Already mentioned prior to this page will not type again. Disappointed in what we had seen and what we were staying in. Hospitality suit should be more than what it was and what we paid for. Possible return unlikely at this point
782,5.0,Fountain View was amazing!,Went to Vegas for my birthday with some friends and the hotel to the restaurants were amazing! Close to everything! We had the fountain view suite on the 19th floor and it spectacular! Will definitely stay here without a hesitation!
783,5.0,The staff here shines--,"Our stay was 12/12 to 12/15 and we will return-We had a penthouse suite (30022) and where it was in need of a few repairs and maybe a face lift, it was clean and comfortable.The stand out here and to us the most important thing is the service provided and the staff here shines. Everyone we had contact with made us welcome and provided excellent service.One of the places we had a meal at was the Mayfair,it was more than fun and would recommended it for sure– Overall a great experience–"
784,5.0,Just me and you + BRUNO,Husband and I needed a weekend away - had a blast!!! The Bellagio didn’t disappoint.. had Bruno tickets an upgrade on the room. The room was super spacious - bed was comfy and we had a great view!!! Of course the Bellagio is located in a super place close to lots of things to see and do!!!
785,2.0,Pros and Cons - overall disappointment,"Always wanted to stay with Bellagio as it has always been a top notch 5 stars rated hotel. However for its rating and money, it has been quite a disappointing stay for our family. We first extended our stay and the second day we decided we would cancel and use the money to book a suite in another hotel. Our room is the resort king with partial fountain view. (Probably get a better room if you’re willing to pay more, but you can also get a site with some other hotels with the same price.) I have the Cons listed first since most people might not have the time to read through. Cons: 1. Dirty - I really expected more from it. The bedsheets, duvet cover, and pillow cases are greasy! I am very sensitive to smell and dust. I was sneezing my nose off through my first and second"
786,3.0,Room Upgrade,Not worth the money you pay for. I couldn’t get the room what I wanted to and I asked for. I have asked them on multiple occasions to upgrade my room but they didn’t which was very disappointing for me.
787,5.0,Bellagio is las vegas,Excelent location staff is great always helping entertainment and restaurants the best there is fun for everybody and in the middle of everything you are going to enjoy and do the things you like in a nice enviroment
788,5.0,Pleasant Room Experience stating here,"The Rooms were very nice and clean. The showers were pretty spacious. The Staywell rooms were very nice and I enjoyed the usage of the purifier. The only thing that I had an issue with is the TV remote was not too responsive to the television and it was on the blink for a couple of days but since I didn't really watch TV, it didn't really bother me."
789,3.0,disapointed,Was expecting better. Found the room to be very much like any other room in Las Vegas. There was nothing special about the room. For the price I was expecting more. I will probably not stay at this location again. Thank you
790,2.0,Mask mandate ignored.,Probably one out of five people maskless or might as well be in crowded indoor conditions. A lot of money for the privilege of exposure to COVID-19. The overpriced eateries didn't help the experience.
791,2.0,Unclean and covid disaster,The vast majority of guests and visitors in gambling areas and elevators were not wearing masks and Bellagio did nothing. Caears and Park were the opposite. If you want Covid this would be your place to get it.
792,3.0,Subpar experience,"This is not a 5 star hotel experience (despite the high price tag). There were many customer experience details that were missed from check in and throughout our stay. Check in desk had no line but the staff were behaving rushed, overwhelmed and frazzled. Our room was not ready for us at the check in time so we were left delayed waiting around for the room to get ready. We had an event to attend that evening so this was an inconvenience and issue with our being able to get to our event. We were told the Hyatt rewards points would only transfer with MLife. So were instructed to go into the casino to find the desk to get the card. No directions on how to get there. The MLife desk was not able to add the information to the hotel account when we signed up so we were instructed"
793,3.0,Not a pleasant experience,We had 4 rooms booked for a night in Bellagio and we couldn't wait for it to be over. Paid for upgrading the rooms to the fountain view but little did we knew that we will need to put up with super loud music all night. Also there was glue / sticky liquid under the cans in the mini bar. As I picked a soda can the liquid stained by brand new jacket which I reported to the house keeping and they were reluctant to do anything about it. Overall not the experience that we expected.
794,5.0,Vegas At Its Best!,This was my sons first visit to Vegas and my first stay at Bellagio. Definitely not my last. The service from all staff involved was superb. The room was among the most comfortable I’ve ever had. The location on the strip is fabulous as well.
795,5.0,21st Birthday,"Always a great time in Vegas, when in doubt go to fat tuesdays across the street and get your favorite daiquiri that will never disappoint you! Always a great time when we stay here and get to do the extractions"
796,5.0,Top quality hotel.,Stayed for 3 nights. We really enjoyed our view! Great service and stuff! We will be definitely be back. The front desk was very helpful with our needs. I would recommend the strip view. Amazing view of the fountain.
797,4.0,Family Vacation,We had problems with our rooms. Also one of the rooms the bed was not cleaned and there were what looked like blood drop stains on the pillow and bedsheets. We also were promised adjoining rooms at check in and they gave it away. They gave us adjoining rooms the next day and cleaned our sheets. Rating would have been higher if the rooms were clean. The staff at the craps table are the best and fun to play with. That is why I keep coming back to the Bellagio.
798,5.0,Las Vegas getaway!,"I had a great time at the Bellagio, hotel is right on the strip, access to everything, my room was clean, well stocked, guest services was wonderful, I checked in earlier than expected. Hotel staff very accommodating and friendly."
799,5.0,Escape The Tiredness of California State.,"Great place for visitors from all over the world . Delicious food at The Buffet at The Bellagio. The Cirque de Sole show was spectacular. Hotel suite room was spacious, comfortable, nice interior & beautiful view. Unlimited alcohol & beer for players in the casino."
800,5.0,Birtday,Fantastic birthday experience friendly entertainment was great hospitality was great I look forward to a return trip the fountain was a wonderful experience food gaming was breath taking Thank you all to make my stay wonderful
801,2.0,Not very impressive,"Had smells venting in our room from another. Smelled like Marijuana and acetone some days, room is very outdated. View was underwhelming. Probably plan to stay at the aria next time. Service is very good though from bell desk. Phones are cheap and outdated trying to call for room service."
802,3.0,"Dirty rooms, unexpected in a 5 star hotel","First room - had a dangerous crack in the shower tub ( please fix it, its sharp ) - shower head is very dirty and doesn't meet 5 star hotel quality - bath tub was dirty, seems like someone used the bath bomb before we check in After complain, room service exchanged our room and gave us $100 food/beverage voucher Second rooms - had some pink soap stain on top of the bath tub - make up mirror light is not working We were too tired to complain, so we cleaned the stain ourselves. Overall, we are not satisfied with Bellagio's room cleanliness and worried if the staffs actually take covid control seriously."
803,5.0,Best of the Strip,"The Bellagio offers the finest combination of everything you can find on the Strip. We stay there due to the consistent high level of service and room quality. There was a dip in cleanliness during the worst part of COVID, but that appears to have been resolved."
804,2.0,Room was never cleaned and my safe was broken,Not happy at all. Nobody ever contacted me to correct the situation. As well as I phoned the room services to let them know that my room was dirty from the time I checked in to the time I left it was never cleaned once.
805,4.0,"Beautiful property, dirty room","Gorgeous resort and amenities, good food, decent casino, friendly staff. Hotel room surprisingly dirty: trash on floor, 2 nightstands and a table were dirty with dried coffee splatters and dried ice cream type material?? Bathroom floor disgusting, also hairs in shower (more than just a few!). Glad we brought our own wipes! Housekeeping obviously does not care as this stuff could not be missed."
806,4.0,5 star if not for Casino Host,"You can’t go wrong with Bellagio. The atmosphere and ambience is right up our alley. Would have been better if your casino host actually communicated with us, but no not even as platinum members. Jeff Dougherty let us down. Other than that Bellagio is beautiful and that blue Ice smell is unbelievable!"
807,5.0,Great time in,I loved staying here I stayed in for a night and it was great never felt small or like I needed to get out of the room to have a good time. Staff is friendly and will help make the most out of your stay. I wish the price for items were a tad cheaper but hey that's how they get ya
808,5.0,Gorgeous and Excellent Service,"Best hotel I've stayed in on the strip so far! Mobile check-in and check-out was very convenient and easy. Bell service was quick and friendly, extra towels were delivered to our room very quickly. Highly recommend and will stay again."
809,5.0,Excellence,Great hotel. Great staff. nice amenities. Close to all the major shopping. Great view and lots of restaurants and high class shopping. The Buffet is only open till 3pm. Needs to have the dinner buffet open.
810,5.0,Great Hotel The Jewel of LV,"Bellagio is and will always be the Jewel of Las Vegas with its inside and outside attractions. The room is spacious, clean, comfortable, quite, and sanitized following the CDC guidelines. Has enough restaurants."
811,5.0,Best vacation getaway,"We stay at Bellagio every year we visit Las Vegas. They just remodeled the rooms, everything is perfect. I loved the decor. The restroom is extremely clean and beautiful. The Staff is so kind and helpful. The food at the restaurants Sadelle's and the Pattiserie is amazing!"
812,5.0,Great couples vacation,"Husband and I spent a long weekend in Vegas. We stayed in a premier wellness king suite. The room was clean, smoke free, and had a beautiful view of the mountains. We didn’t hear any noise outside of our room and got a peaceful nights sleep. The hotel is gorgeous and has many delicious places to eat. We are the patisserie and Noodles, both excellent! Staff were all friendly and helpful. It’s located across from the Paris hotel and within walking distance of many attractions. Check out was breeze, I did it using my phone. The fountain is fun to watch at night. Overall, we would stay here again and had a great time."
813,1.0,Nothing Special about this place,"I decided to spend my 50th birthday here and found that it was an expensive hotel with no character or qualities that would make you want to return. The place basically shuts down at midnight so good luck trying to get food at 2 AM. Bathrooms were also gross and I had too many kids running up and down the hall screaming at 8 AM. I never once had a good nights sleep. Save your money, go elsewhere."
814,5.0,Vacation time was excellent while I was here for my 3 days vacation . I have no complaint just elegant of atmosphere wit,I checked in with no problem the staff was great. I was here on vacation for 3 days it was pleasant. Me and my wife enjoyed the atmosphere along with food dining. Restroom were cleaned. Service was wonderful
815,1.0,Worst MGM property in Vegas,I was Extremely disappointed. Cleanliness gets a Big Zero and Service was terrible when you could get it. I will never stay at this property again. Worst MGM property in Las Vegas. To top it off one night we didn’t even have hot water … not sure how that happened.
816,4.0,"Amazing, but no free minibar.. even with penthouse","Amazing, but no free minibar.. even with penthouse. Many hotels such as Arizona Grand dont offer free mini bar's anymore. This Must change. $22 waters? Come on. Otherwise, beautiful place to stay with an excellent staff. Lily's Lounge is a great place to stop by"
817,3.0,A ONCE LUX RESORT HEADED DOWNWARD,"The resort has lost a significant amount of the high quality design and appeal since opening and when operated by Wynn. The casino floor used to be so elegant, beautiful and like no other on the strip. Now it looks just like all the others...MOSTLY those that are not ""5-star"" rated. My room in the spa tower had every lamp broken with the shade hanging on crooked and cockeyed. The bath door back and black finger print smears and blood on it. The amour lighting didn't work. Linens were sloppy placed. There were no q-tips or cotton swabs. There was mold growing around the outside shower floor. The shower door leaked significantly. I was approached by numerous hookers and prostitutes why gambling or enjoying a cocktail at the bar. SO DISGUSTING you allow these shady sorts"
818,3.0,Pricey for things I couldn't use,I paid for an early check in to be in comfort for two of my zoom meetings. Wifi was not working and the hotel supervisor was demeaning when I asked him to waive the ONE day I wasn't able to use. The representative looked at me as if I didn't belong when I was trying to get a key for my room. I had to flag a different person to get some sort of assistance. Disappointed with the judgements here.
819,5.0,Birthday weekend,From start to finish it was an awesome experience..i would do it all over again..the hotel room was spacious and the fountain view was incredible..the crew and staff was very helpful and respectful and made the experience even better..thank you again and we'll see you again..
820,3.0,Disappointed,"Awful customer service. Arrived at 8:00am checked in the night before. Checked with front desk on arrival and no rooms were available. I understand that if a room becomes available before 3:00pm they would let me know. The rest of my party arrived through the day without night before check in and received their rooms right away. I continued to check throughout the day and well after 3:00pm still no rooms. I was offered a DOWN grade twice, declined both times. I said I was going over to Ceasars and miraculously they found me a room. Second such incident this year with MGM."
821,4.0,Smoke and Mirrors,"Still a beautiful hotel. The entry to die for. The Conservatory always amusing and inventive. The Casino was well established, with every conceivable game at our beck and call. The Fountains as always takes my breath away. My room? Cavernous I'd say. A King bed, End tables, small table and chair, an odd looking breakfront filled with all the snacks you could desire at a hefty charge. A Television and a dynamite shower. Too bad hey took out the Coffee Makers."
822,3.0,Birthday Trip,"After shopping, eating, and visiting most of the strip you want to come back to the hotel room and recharge with a nice sleep. Nope! our king bed was in bad shape. The rest of Bellagio outside of the room was fine & just as expected, but part of vacation for me is relaxation so I would say my visit was just average compared to an average hotel."
823,4.0,Beautiful Rooms - terrible buffet,It was the worst Buffett I have ever been too. Usually Vegas buffets are pretty decent. The Bellagio’s buffet was not even edible. It kept me from going to the other restaurants in the casino. I expected so much more from such a beautiful place.
824,5.0,Security officer made our trip,"Overall great hotel. While trying to find the sportsbook, we ran into Security Officer Vycheth Tith who happily directed but also did the unexpected by providing us with a credit for the bar. He made our trip unforgettable and meaningful."
825,5.0,Perfect stay at Bellagio,"Loved our Fountain View Room, fountain show is mesmerizing. Mayfair After Dark was a pleasant surprise, and so much fun. Order the Cotton Candy Champagne! But prepare to get sticky ha ha Location is perfect."
826,1.0,Not a 5 star hotel,"So many minor things that just added up, from the waste basket in the bathroom not being emptied from the previous guest to glassware remaining outside the door for more than 36 hours. The resort fees are too high along with the parking - more than $60/day just in fees/parking. There are certainly better hotels and values in Vegas. I was very disappointed in this 5 star hotel."
827,5.0,beautiful bellagio,Vacations at the Bellagio are always wonderful. But the Christmas season adds a particular pleasure due to the amazing decorations in the hotel and Atrium. Its becomes a visual delight for people of all ages. Certainly worth a visit.
828,3.0,Bellagio experience continues to go downhill,The entire purpose for staying at the Bellagio has been the ability to remove yourself from a little reality and enjoy a superior experience. The Bellagio has started to become a self-service drive-through no different than any other hotel on the strip. When you start to push people to play electronic table games unless they’re willing to put $100 on the pass line you remove that experience. You can play electronic table games on your phone in your house. Same goes for slots. 500 different machines to pick from and 250 of them are buffalo. Serve yourself at the buffet started several years ago. We will still charge you a fortune for the room that has been ‘upgraded’. Pandemic or not. Have stayed here more than a dozen times over the last 5 or so years and has been my go to. This
829,5.0,Slots,In the middle of my free games my machine malfunctioned and boy was I irritated. Jean came so quickly to my machine to see what was going on. She called for help and Adan came to the rescue! Coke to find out the machine overheated and they did everything they could to see if the machine would reboot and fix the issue. Jorge the Manager came because they couldn’t fix it and they ended up accommodating me and making sure I was taken care of! Thank you folks for making me feel a little better. Our new insider is “I broke the machine” lol they deserve an award and raise for going above and beyond for not only helping me but for presenting above and beyond customer service! Outstanding I tell ya!
830,3.0,Check out was a mess,"Had wrong card on file and now have to hunt down my $200 deposit that was clearly charged to my card, even showed them the statement, but they refussed to listen and then had assured me would come back to my card."
831,5.0,Beautiful Destination,"Super friendly, professional staff. Gorgeous hotel, especially this time of year. Super clean room with fantastic view of fountains. Great assortment of restaurants and entertainment. Circ Du Soliel is highly recommended."
832,5.0,Bellagio stay 2021,"Had a wonderful stay and lots of fun looking forward in coming back, excellent services rooms and super nice and luxurious best hotel I been at so far plus the location is nice right in the middle of everything and there fountain show is amazing"
833,5.0,Christmas season at the Bellagio,The Bellagio did a fantastic job of decorating the hotel for the Christmas season. From the front desk to the main entrance room. The displays are worth seeing. The beautiful decorated Christmas tree in a winter wonderland. Ate lunch at the buffet and the food was five star. I usually don’t care for buffets but I was very impressed with this one. The Bellagio is centrally located on the strip. Also you cannot miss the waterfall show every night in front of the hotel. This time of year the water show was done to the song It’s the most wonderful time of the year.
834,5.0,Girls trip with granddaughters,We had a wonderful stay and awesome view. Jacqueline at the front desk was great. The decorations for Christmas were breathtaking. Will stay again. Such a beautiful hotel. Was a special stay for my daughter and granddaughters.
835,2.0,Overrated,"Hidden Charges, 150 per night deposit. Please factor this in on top of the daily resort fee and parking fee. There is also no little fast food court like in all the other casinos which is convenient in Vegas, only over priced restaurants."
836,5.0,Awesome Service,"First time staying here, and was not disappointed. Would highest recommend this to a colleague, service was exceptional, staff had great attitudes and were very helpful. Plan to return in a couple months."
837,5.0,Vacation,Good time to stay with family. Nice hotel! Recommended to everyone who is going to Las Vegas for their vacation. Friendly staffs all the time. Busy hotel all the time during the year even COVID-19 but people still going there a lot.
838,3.0,no hot water in shower,We were gone all afternoon after reporting it. Came back and plumber was in room. Took him another 45to an hour. He radioed housekeeping. They did not show instead a guy with dry towels- we wanted the wet towels removed from shower he said it wasn’t his job! Housekeeping let themselves in while I was asleep in the bed must later- weird!
839,5.0,3 Old Guys in Vegas,Three old friends hanging out in VEGAS. Had good food at the Buffet and the Italian restaurant (although the portions were small). Walked the property and took in the Christmas decorations. Gambled and won some money.
840,4.0,Bellagio 65th Birthday,Location is excellent and Bellagio has all the amenities. Room a little dated and stained. View of the fountain very nice. Staff helpful and responsive. Restaurant food for breakfast was excellent. Checkout a breeze.
841,5.0,Most relaxing night,"We went for a concert and we stayed in the Wellness Rooms. I had the best night sleep I have ever had at a resort. The bathroom was beyond awesome(walk in shower, dual sinks, lighted mirrors, and a lighted magnifying mirror . The decor was on point with calming color pallette. The bed sheets were so cozy and the bed was superb. It had a nice couch too. The refer was stocked with snacks, soda, alcohol if needed(for a fee). Also, there were room temperature snacks and water available(for a fee). The sheers and drapes were controlled by buttons next to the bed and door made it an ease to open and close. It HD. Nice flat screen t.v. with great quality picture. It also had one robe and two pair of slippers(for a fee) if needed. The best night ever. My husband and I really enjoyed our"
842,2.0,Chrismas Vegas get away,"over all trip was nice, but the room was not worth the price. it will not book at bellagio again. The room is spaces, bit very limit amenities. No refri, no coffee machine, jacuzzi was not work and ac was super noisy."
843,3.0,I'm not going to retype. Numerous issues.,"This is no longer a 5 star experience, definitely a 5 star bill. Issues with most areas of the hotel. Not kid friendly. Went for a wedding, requested rooms near one another. We got 3 in spa tower, same floor. Other was in short tower. Quite a hike. No coffee on Spa side till 6am. Way overpriced and over-rated."
844,5.0,Very good,"Over all it was a very good experience. The check in was quick because of their hotel App. The room was very clean, nice, food was great, room was clean while I was in the casino every day. Other than loud guesses staying up to all hours it was a great time."
845,2.0,Everything is expensive,(Go to CVS to buy water or drinks) . 8.00 for small bottle of water is horrible. Ramen soup at noodles was 17.00 and was just Ramen soup. Food at the snack bar was horrible pizza combo was 19.00 and the best part about that “meal” was the garlic knots. The staff is incredibly unfriendly and if you have a disability (I can not hear) the staff acts like your a total inconvenience.
846,3.0,Electronic phone key - horrible failure,The room/elevator keys worked about 25% of the time. Most guests were complaining about this issue during our stay. Also many dining options were closed or with limited hours. The hotel is starting to show its age.
847,4.0,PLEASE ADD COFFEE/HOT WATER MAKER TO ROOMS,"This hotel is beautiful! Now, I get it that they want you to spend money in restaurants and casinos, but come on, a Suite with NO coffee/hot water maker?? In fairness, I did not contact hotel to see if could get one sent to room, so do not know if that was an option."
848,5.0,Best on the strip,One of the best ones on the strip. We got the room with the view and it was the Cherry on the top. We used the Amex for the stay and got the free brunch and room upgrades + $100 on the spa. The tram helped with the travel on the strip with the kids.
849,3.0,Reservations cancelled,I booked through my Hyatt app and received all my confirmation emails. Even received it days before my travel date. However when we got to desk to check in I was told that all of our reservations were cancelled. The lady at the front desk told us the Hyatt cancelled them but then proceeded to tell the Hyatt rep that they cancelled them and hour later that finally rebooked our rooms.
850,5.0,A great winter getaway,I had a fantastic time at Bellagio in December. The staff is personable and professional. I like the location and I am looking forward to returning. This is a great place to stay for anyone who wants entertainment and fun.
851,5.0,My stay at Bellagio,"I stayed at the hotel four times in 2021. I stayed in a suite each time. The suite was very well furnished and the Covid protocols were excellent and unlocked some hotels the room was cleaned and serviced each day. The restaurants are first class and we are six different ones. We had breakfast each morning at Sadels and they had great service,food and a excellent menu. The hotel is well decorated and has a variety of shops and convenience stores in the hotel. The SPA is wonderful"
852,5.0,Convenient,Love the hotel and location. Very convenient to other hotels and great staff. Love the bathroom. Very roomy The bad thing is they charge $18 a day for parking for guests. I think it should be free if you’re a guest.
853,5.0,Bellagio is as good as ever,"We have been going to the bellagio from the first month it opened as a Steve Wynn hotel. In addition to business meetings I’ve conducted, it’s been a family getaway for vacations every year. We love the rooms, the location on the strip, the restaurants are great and diverse enough so we rarely leave the resort. The suites have a steam option which makes the experience of taking a shower incredible. We will never switch hotels!"
854,5.0,High suggest stay here,It was a very wonderful experience here. Everyone was very friendly and helpful. The room was excellent and loved the views. Definitely recommend and we will be back to stay again. Thank you for the great experience and can’t wait to come back soon.
855,5.0,Great Vegas Trip,"We came out for a couple trip and the Golden Knights/Flyers game. The stay at the Bellagio was incredible. The staff was very nice and on top of everything we needed. The hotel and casino was first class all the way,"
856,5.0,Blessed xmas,It was like being in Disneyland blissful enjoyable a dream come true great service wonderful food great surroundings beautiful holiday display wonderful shopping avenue great view from room delightful soa
857,5.0,Amazing Vacation,there were a lot of interesting slot machines to choose from and the floor is very safe. there are also a good choice of table games with very helpful and amiable dealers. There is also ample cocktail service at the tables. Room service is also available with a pretty good selection of dishes. The fountain view from the room was fantastic.
858,5.0,"exceptional,","beautiful, one thing I did not like is the smoking, i could smell it walking in the hallways. in the casino I could not breathe the smoke was terrible, love the place will come back, but please.....make it smoke free."
859,4.0,Couples Retreat,"Friendly staff . Bellhop and Check in service very accommodating . Top notch restaurants, entertainment , and spa. Great location and easy access to the strip. The room had a spectacular view of the fountains and the Paris balloon."
860,3.0,Was Hoping for More,"I have been to Vegas a handful of times and I always looked at the Bellagio as this very opulent, very regal place. I was disappointed. It took you a small expeditionary trek to walk anywhere. We went to the wrong tower the first time as it was not stated anywhere which tower we were staying. Food is outragiously priced and par at best. Just was hoping for more."
861,3.0,Penthouse Suite not up to par..,"Splurged on penthouse suite for my 50th birthday. Extremely disappointed. Expected superior service, received better service at a Days Inn. Room was spacious and had an amazing view of the mountains, but dated. For issues we had, communication was non existent, unless I wanted to sit in the room on the phone, not what I wanted to do in Vegas.. The best service was from bell staff, they are amazing."
